"category,vistype,attr: data-ink ratio,attr: # distinct colors,attr: visual density,attr: human recognizable object,mem: at-a-glance HR (%)"
"0,4,2,1,2,0,50"
"0,0,1,1,1,0,50.59"
"0,5,1,1,1,0,62.92"
"0,1,1,1,1,1,40"
"1,4,1,1,1,0,33.68"
"1,0,1,2,2,0,21.74"
"2,7,1,1,1,1,91.86"
"2,6,2,3,2,0,33.33"
"2,3,2,2,2,0,38.82"
"2,1,3,3,1,1,71.91"
"2,5,1,1,1,0,39.53"
"2,3,1,1,1,0,36.26"
"3,6,2,3,2,0,54.65"
"3,7,3,3,3,1,56.98"
"3,4,2,3,3,1,51.04"
"3,7,2,2,1,1,55.21"
"3,4,2,2,1,1,45.12"
"3,7,2,2,2,1,62.77"
"3,1,3,3,3,1,46.67"
